pessoa_idade,pessoa_salario_anual,pessoa_status_propriedade,pessoa_tempo_trabalho,emprestimo_motivo,emprestimo_pontuacao,emprestimo_valor_total,emprestimo_taxa_juros,emprestimo_inadimplente,emprestimo_renda_percentual,historico_inadimplencia,historico_tempo_credito
24,52000,Hipotecada,8,Pessoal,B,5000,10.99,0,0.1,N,3
25,51300,Alugada,9,"Pagamento de débitos",A,3600,7.49,0,0.07,N,3
31,60000,Hipotecada,7,Empreendimento,B,7000,NULL,0,0.12,N,7
28,35000,Própria,2,Pessoal,D,13250,16.89,0,0.38,N,7
28,148000,Hipotecada,0,"Melhora do lar",D,15000,15.65,1,0.1,S,5
26,108000,Hipotecada,4,Pessoal,A,9000,5.79,0,0.08,N,2
NULL,113000,,7,Educativo,A,3600,9.99,0,0.1,N,4
27,39996,Alugada,4,Empreendimento,A,6500,9.63,0,0.16,N,7
25,90000,Hipotecada,7,"Pagamento de débitos",A,6000,7.14,0,0.07,N,3
27,60000,Alugada,6,Educativo,A,12650,NULL,0,0.21,N,9
24,125375,Alugada,0,Médico,C,12000,14.27,1,0.08,N,2
21,41900,Alugada,2,Empreendimento,C,16000,12.84,1,0.38,S,2
27,48000,Alugada,5,Empreendimento,B,12000,11.71,0,0.25,N,6
21,9600,Própria,0,Empreendimento,B,1200,10.99,0,0.13,N,4
38,30000,Alugada,6,Médico,A,8000,NULL,0,0.27,N,14
24,39000,Hipotecada,8,Empreendimento,A,1200,NULL,0,0.03,N,2
22,29004,Hipotecada,6,Educativo,A,2500,6.91,0,0.09,N,3
48,110000,Hipotecada,6,Educativo,A,6000,8.94,0,0.05,N,14
22,96000,Hipotecada,3,Educativo,C,11400,13.04,0,0.12,S,2
23,62000,Hipotecada,3,Médico,A,9000,NULL,0,0.15,N,4
36,170000,Hipotecada,13,Empreendimento,A,25000,7.51,0,0.15,N,13
27,120000,Hipotecada,2,Empreendimento,B,16000,12.21,0,0.13,N,5
29,60000,Hipotecada,3,Pessoal,A,7200,7.88,0,0.12,N,7
25,62604,Alugada,2,Pessoal,A,9000,NULL,0,0.14,N,3
22,57000,Hipotecada,1,Empreendimento,A,3200,5.99,0,0.06,N,4
25,26000,Alugada,4,Médico,C,8000,12.87,1,0.31,S,3
23,NULL,Alugada,0,Médico,A,12000,15.68,0,NULL,S,3
26,22584,Alugada,NULL,Pessoal,A,1800,8.49,0,0.08,N,2
30,20520,Alugada,0,Médico,B,5000,9.99,0,0.24,N,9
24,54000,Alugada,5,Empreendimento,C,21600,13.49,1,0.4,N,2
21,62316,Hipotecada,5,Médico,A,10000,7.66,0,0.16,N,4
30,45000,Alugada,1,Educativo,A,6000,7.51,0,0.13,N,5
31,35000,Hipotecada,2,"Pagamento de débitos",B,10225,9.99,0,0.29,N,6
26,35000,Hipotecada,10,Empreendimento,A,6000,7.51,0,0.17,N,4
23,57000,Alugada,7,"Pagamento de débitos",B,10000,11.48,0,0.18,N,4
24,50000,Alugada,6,Pessoal,A,4000,7.66,0,0.08,N,4
30,43000,Alugada,1,Médico,A,3200,8,0,0.07,N,5
22,69500,Hipotecada,6,Médico,C,6000,13.48,0,0.09,N,3
42,60000,Alugada,3,"Melhora do lar",A,7200,5.79,0,0.12,N,11
26,50400,Hipotecada,3,"Melhora do lar",B,24000,9.91,0,0.48,N,3
31,46000,Hipotecada,5,Educativo,C,8000,13.49,1,0.17,S,5
42,101000,Hipotecada,6,"Pagamento de débitos",F,25000,16.15,1,0.25,S,14
24,74000,Alugada,7,Educativo,D,8000,15.62,0,0.11,S,2
22,26400,Hipotecada,NULL,Pessoal,B,1000,NULL,1,0.04,N,2
31,65000,Hipotecada,3,"Pagamento de débitos",A,10000,11.03,NULL,NULL,N,3
26,49000,Alugada,0,"Melhora do lar",F,20000,19.79,1,0.41,N,3
23,51996,Alugada,0,"Melhora do lar",F,3400,17.58,1,0.07,N,4
29,55000,Alugada,3,Pessoal,B,1200,9.99,0,0.02,N,6
24,13000,Alugada,4,Pessoal,B,4000,9.88,1,0.31,N,2
30,46500,Hipotecada,8,Empreendimento,A,6000,7.88,0,0.13,N,8
24,82000,Hipotecada,8,Pessoal,A,6000,6.76,0,0.07,N,3
24,22000,Alugada,0,Pessoal,C,5550,12.41,1,0.25,N,3
25,69000,Hipotecada,10,"Pagamento de débitos",D,15000,14.54,1,0.22,S,3
31,18000,Alugada,6,Educativo,C,4000,12.84,1,0.22,N,5
24,61200,Hipotecada,8,Educativo,C,2500,NULL,1,0.04,N,4
41,83000,Hipotecada,6,"Melhora do lar",B,3000,11.83,0,0.04,N,12
26,43200,Alugada,5,Educativo,C,3200,14.35,0,0.07,S,4
26,65004,Alugada,3,Empreendimento,A,8400,7.51,0,0.13,N,3
37,46680,Hipotecada,6,Empreendimento,D,8000,15.21,0,0.17,N,15
22,130000,Hipotecada,3,Empreendimento,B,24250,12.18,0,0.19,N,4
36,55200,Alugada,3,Médico,D,9900,14.84,1,0.18,S,13
29,48000,Hipotecada,3,Pessoal,C,17375,14.27,0,0.36,S,5
24,37000,Alugada,8,Médico,A,6000,6.76,0,0.16,N,4
31,24000,Alugada,3,Educativo,A,6000,8.49,0,0.25,N,5
28,28000,Alugada,3,Empreendimento,A,3000,6.91,0,0.11,N,10
22,NULL,Alugada,1,,C,25000,15.27,0,0.3,S,3
23,85000,Alugada,2,Médico,B,9600,10.99,0,0.11,N,4
43,54000,Alugada,0,"Melhora do lar",D,9000,15.65,1,0.17,S,16
23,70000,Alugada,3,Empreendimento,A,12000,7.9,0,0.17,N,2
31,24996,Alugada,0,"Pagamento de débitos",C,5000,12.99,1,0.2,N,8
22,96000,Alugada,4,Educativo,B,3150,6,0,0.03,N,2
40,23004,Própria,2,Médico,A,7750,7.88,0,0.34,N,16
25,28800,Alugada,5,Pessoal,A,5575,6.62,0,0.19,N,4
26,35000,Alugada,10,Médico,B,12875,NULL,1,0.37,N,2
25,120000,Hipotecada,9,Pessoal,A,10000,5.42,0,0.08,N,4
30,62304,Alugada,3,Educativo,D,11000,NULL,0,0.18,N,9
26,54000,Alugada,3,"Melhora do lar",E,13000,17.93,0,0.24,S,2
26,38000,Alugada,10,Empreendimento,B,10000,NULL,0,0.26,N,3
26,85000,Alugada,3,"Melhora do lar",C,21000,13.92,0,0.25,N,3
24,39000,Alugada,1,"Pagamento de débitos",D,10000,14.11,1,0.26,N,3
33,18996,Alugada,5,"Pagamento de débitos",D,3250,16.32,1,0.17,N,7
43,145000,Hipotecada,1,Empreendimento,A,20000,6.91,0,0.14,N,17
31,73000,Hipotecada,4,"Pagamento de débitos",F,16000,19.41,1,0.22,N,7
26,38400,Alugada,8,Empreendimento,D,9100,15.37,0,0.24,S,2
21,24996,Alugada,2,Educativo,E,5000,16.45,1,0.2,N,4
21,45000,Alugada,3,Médico,B,9600,12.18,0,0.21,N,3
34,34000,Alugada,0,Pessoal,A,8000,7.9,0,0.24,N,7
22,50000,Hipotecada,6,Pessoal,A,15000,7.9,0,0.3,N,3
39,60000,Hipotecada,22,Pessoal,B,4000,10.59,0,0.07,N,12
27,35000,Alugada,0,"Pagamento de débitos",A,3000,8.49,0,0.09,N,10
21,45000,Alugada,3,Pessoal,A,7200,9.38,0,0.16,N,4
23,51996,Hipotecada,3,Pessoal,A,5000,6.92,0,0.1,N,3
28,65000,Hipotecada,5,Médico,C,4500,15.96,0,0.07,S,9
28,12000,Alugada,1,"Melhora do lar",D,1000,16.32,1,0.08,S,9
31,95000,Hipotecada,1,"Pagamento de débitos",B,25000,10.08,0,0.26,N,6
47,168000,Hipotecada,13,Educativo,A,8775,8.49,0,0.05,N,12
23,20124,Alugada,NULL,"Pagamento de débitos",C,5950,13.49,0,0.3,S,3
144,200000,Hipotecada,4,Educativo,B,6000,11.86,0,0.03,N,2
46,80000,Hipotecada,8,Empreendimento,B,5000,11.86,0,0.06,N,15
48,16800,Própria,0,"Melhora do lar",B,3300,10.99,1,0.2,N,14
30,60000,Alugada,4,Pessoal,B,12000,10.99,0,0.2,N,10
24,71000,Hipotecada,8,Educativo,B,20000,11.36,0,0.28,N,2
24,62050,Hipotecada,1,Médico,C,5600,14.65,1,0.08,N,4
33,92000,Hipotecada,8,Educativo,C,20000,13.06,0,0.22,N,10
26,132500,Hipotecada,1,"Melhora do lar",B,12000,12.69,0,0.09,N,3
27,44000,Alugada,6,Empreendimento,A,4800,7.51,0,0.11,N,10
22,66000,Hipotecada,6,Educativo,C,15000,11.72,0,0.23,S,2
25,61000,Própria,2,Pessoal,C,15000,14.65,0,0.25,N,2
27,16800,Alugada,3,"Pagamento de débitos",B,6500,11.99,1,0.39,N,8
34,105000,Hipotecada,14,Empreendimento,A,12000,6.99,0,0.11,N,5
23,56000,Alugada,7,Empreendimento,C,4000,15.23,0,0.07,S,4
37,65000,Alugada,7,"Melhora do lar",C,12000,13.98,0,0.18,N,12
22,33000,Alugada,2,Educativo,D,6000,NULL,1,0.18,N,4
23,72000,Alugada,7,Pessoal,B,10000,10.59,0,0.14,N,4
24,42996,Alugada,2,Médico,A,14000,7.51,1,0.33,N,2
30,30000,Alugada,1,Pessoal,B,14500,NULL,1,0.48,N,8
23,65000,Hipotecada,7,Educativo,A,10500,6.03,0,0.16,N,4
23,52360,Hipotecada,NULL,Empreendimento,D,15000,16.49,0,0.29,S,2
29,180000,Hipotecada,9,Pessoal,A,15000,5.79,0,0.08,N,6
22,60000,Alugada,6,Pessoal,B,4000,12.21,0,0.07,N,3
41,55000,Alugada,9,"Pagamento de débitos",B,12000,12.53,0,0.22,N,15
32,85000,Alugada,7,"Pagamento de débitos",B,6000,11.71,0,0.07,N,5
27,69000,Hipotecada,3,Educativo,B,4000,11.49,1,0.06,N,8
21,19968,Alugada,4,Médico,C,5000,NULL,1,0.25,N,3
30,62000,Alugada,14,Médico,B,12000,11.71,0,0.19,N,9
23,15000,Hipotecada,0,Pessoal,C,3600,13.47,1,0.24,N,4
24,54500,Hipotecada,7,Médico,D,8000,17.49,1,0.15,N,4
25,39000,Alugada,3,"Melhora do lar",A,2000,7.66,1,0.05,N,4
22,24000,Hipotecada,5,Educativo,A,5000,7.9,0,0.21,N,2
22,50000,Hipotecada,6,Empreendimento,A,7800,6.62,0,0.16,N,2
29,90000,Hipotecada,8,"Pagamento de débitos",A,14000,7.9,0,0.16,N,9
22,35000,Alugada,1,Empreendimento,C,8000,12.41,0,0.23,N,3
24,65450,Hipotecada,8,Médico,D,5000,16.77,1,0.06,N,4
37,108000,Alugada,0,"Melhora do lar",E,20000,16.32,1,0.19,N,15
23,64500,Hipotecada,0,Médico,A,10000,NULL,0,0.16,N,4
24,29200,Hipotecada,6,Pessoal,A,2500,6.76,0,0.09,N,2
52,25000,Alugada,23,Médico,D,5000,12.61,1,0.2,S,22
31,50402,Hipotecada,4,Empreendimento,C,3000,13.22,0,0.06,S,10
24,82726,Hipotecada,7,Educativo,C,20000,NULL,0,0.24,S,4
25,134300,Alugada,3,Médico,D,5000,16.49,1,0.03,N,2
29,40000,Hipotecada,8,"Pagamento de débitos",A,8000,8.59,0,0.2,N,9
21,28000,Alugada,3,Educativo,B,8000,10.99,1,0.29,N,2
30,144997,Hipotecada,14,Pessoal,B,25000,11.83,0,0.17,N,5
41,26400,Hipotecada,1,Pessoal,D,10300,16.29,1,0.39,S,14
26,110000,Hipotecada,0,Empreendimento,A,15600,6.17,0,0.14,N,4
26,27000,Hipotecada,NULL,"Pagamento de débitos",A,3000,5.79,0,0.11,N,3
22,72500,Alugada,6,"Pagamento de débitos",B,4200,11.71,0,0.06,N,3
28,20292,Alugada,3,Empreendimento,B,3900,12.53,0,0.19,N,9
30,37800,Alugada,4,Médico,B,15050,9.99,1,0.4,N,7
23,74000,Própria,7,Pessoal,D,15000,15.99,0,0.2,S,4
23,29000,Alugada,0,Educativo,E,10000,17.93,1,0.34,S,3
23,56100,Hipotecada,3,Médico,B,5650,10.99,1,0.09,N,3
31,24000,Alugada,0,"Pagamento de débitos",A,9925,6.62,1,0.41,N,6
38,112224,Hipotecada,5,Educativo,A,25000,6.99,0,0.22,N,13
23,34000,Própria,7,Empreendimento,A,10950,7.29,0,0.32,N,2
24,9600,Alugada,3,Educativo,C,1300,12.73,1,0.14,N,2
42,44000,Alugada,0,"Pagamento de débitos",A,6000,9.63,0,0.14,N,14
24,47000,Alugada,3,Pessoal,A,6000,7.66,0,0.13,N,2
27,146000,Hipotecada,5,Médico,A,2500,8.49,0,0.02,N,5
29,43200,Alugada,4,Educativo,C,1600,13.49,0,0.04,N,10
34,105000,Hipotecada,2,"Melhora do lar",A,5000,5.42,0,0.05,N,7
40,52479,Alugada,17,Pessoal,D,6600,14.54,1,0.13,N,13
28,NULL,Alugada,7,Educativo,A,20000,10.62,0,NULL,N,4
23,73164,Hipotecada,7,Empreendimento,B,1000,10.36,0,0.01,N,2
22,17352,Hipotecada,NULL,Educativo,C,2250,15.27,0,0.13,S,3
25,70000,Alugada,0,Educativo,B,12000,11.99,0,0.17,N,2
24,30000,Alugada,2,"Pagamento de débitos",C,3350,14.72,0,0.11,S,2
25,55000,Alugada,2,,,7200,9.88,0,0.18,N,4
27,88000,Alugada,11,,A,4750,11.11,NULL,0.33,N,2
27,55200,Própria,4,Educativo,B,4000,NULL,0,0.07,N,10
23,48600,Própria,2,Médico,A,5000,7.49,0,0.1,N,2
33,100000,Hipotecada,0,"Pagamento de débitos",B,24000,10.25,0,0.24,N,6
30,58000,Alugada,2,Médico,A,15000,8.49,0,0.26,N,10
32,40277,Alugada,5,Médico,B,15000,11.71,1,0.37,N,8
34,54000,Hipotecada,5,Empreendimento,A,10000,7.29,0,0.19,N,7
25,54000,,NULL,"Melhora do lar",B,20000,14.91,1,0.29,,5
29,85000,Alugada,12,Pessoal,B,8000,10.62,0,0.09,N,8
22,85000,Hipotecada,4,Médico,A,12000,6.91,0,0.14,N,3
33,60000,Própria,NULL,Educativo,C,10000,13.98,0,0.17,S,6
55,50000,Alugada,2,"Pagamento de débitos",A,20000,7.51,1,0.4,N,28
24,60000,Alugada,4,Pessoal,B,12500,11.49,0,0.21,N,3
23,90096,Hipotecada,0,Educativo,C,10150,11.97,0,0.11,N,3
24,NULL,Hipotecada,8,Médico,D,4000,13.49,0,NULL,N,15
26,48000,Hipotecada,10,Empreendimento,C,13800,13.49,0,0.29,S,2
23,65000,Hipotecada,4,Educativo,D,13600,15.62,0,0.21,S,2
27,18000,Alugada,3,Educativo,B,8000,10.75,1,0.44,N,10
22,70000,Alugada,3,Educativo,B,22000,11.36,1,0.31,N,4
26,36996,Alugada,8,Pessoal,C,9600,11.97,0,0.26,S,4
44,80160,Hipotecada,13,"Pagamento de débitos",C,5500,13.92,0,0.07,S,13
23,30000,Própria,1,Pessoal,A,5000,6.62,0,0.17,N,2
27,78262,Alugada,4,"Melhora do lar",B,11525,NULL,0,0.15,N,8
22,69996,Hipotecada,6,Empreendimento,B,10000,10,0,0.14,N,4
28,30000,Alugada,3,Pessoal,A,10000,8.9,1,0.33,N,5
31,47700,Alugada,2,Médico,B,12000,11.99,0,0.25,N,6
24,50000,Alugada,8,Médico,B,5000,9.25,0,0.1,N,3
31,82656,Outros,10,"Pagamento de débitos",C,6000,12.09,0,0.07,S,9
26,122000,Hipotecada,4,Educativo,C,4800,NULL,0,0.04,S,3
26,64999,Própria,5,Empreendimento,C,10000,13.98,0,0.15,S,3
23,80000,Alugada,2,Empreendimento,B,7800,9.99,0,0.1,N,2
24,50000,Alugada,0,"Pagamento de débitos",A,2800,5.79,0,0.06,N,2
NULL,30000,Alugada,2,Educativo,B,2500,10.37,0,0.04,,4
30,232050,Hipotecada,14,Médico,E,25000,17.93,1,0.09,S,9
25,225000,Hipotecada,0,Empreendimento,F,25000,18.67,0,0.11,N,2
26,39996,Alugada,5,Educativo,C,4800,12.99,0,0.12,N,4
24,77964,Alugada,4,"Pagamento de débitos",D,9600,14.42,1,0.12,N,2
29,220000,Hipotecada,13,"Pagamento de débitos",B,8500,10.37,0,0.04,N,5
23,40000,Alugada,7,Empreendimento,B,10000,10.36,0,0.25,N,3
25,30000,Hipotecada,9,Empreendimento,A,5000,6.03,0,0.17,N,3
34,63500,Hipotecada,18,"Melhora do lar",A,5125,8.49,0,0.08,N,5
30,10800,Própria,NULL,Educativo,B,2400,9.99,1,0.22,N,7
25,128000,Hipotecada,4,"Melhora do lar",B,10000,11.58,1,0.08,N,2
37,49500,Alugada,0,Médico,A,10000,7.66,0,0.2,N,14
31,42000,Alugada,6,Educativo,D,1200,16.29,0,0.03,S,5
25,72893,Hipotecada,9,Pessoal,C,20000,13.22,0,0.27,N,2
NULL,27600,Alugada,NULL,"Melhora do lar",B,15000,10.99,NULL,0.21,N,4
25,32000,Alugada,9,"Pagamento de débitos",C,6000,12.99,1,0.19,S,2
26,52800,Alugada,4,Pessoal,B,4000,9.99,1,0.08,N,3
29,100000,Hipotecada,1,"Pagamento de débitos",A,12000,6.91,0,0.12,N,10
27,55000,Alugada,3,"Pagamento de débitos",C,20000,13.48,1,0.36,N,9
22,63000,Alugada,2,"Pagamento de débitos",A,5000,7.74,0,0.08,N,3
29,33000,Hipotecada,5,Empreendimento,B,4200,11.36,0,0.13,N,9
24,42000,Hipotecada,9,Pessoal,A,11000,5.42,0,0.26,N,4
35,37400,Hipotecada,3,Empreendimento,D,10750,15.95,0,0.29,N,5
34,58000,Alugada,11,Pessoal,B,10000,10.65,0,0.17,N,9
26,30000,Hipotecada,0,Educativo,A,4000,7.14,0,0.13,N,3
22,108000,Alugada,6,Educativo,B,28000,NULL,1,0.26,N,4
27,30000,Alugada,3,Pessoal,A,13000,7.88,1,0.43,N,10
23,38896,Alugada,2,Pessoal,C,7200,13.48,0,0.19,S,3
29,93000,Alugada,1,"Melhora do lar",B,10000,11.14,0,0.11,N,8
23,28800,Alugada,5,Pessoal,B,2800,10.38,0,0.1,N,2
28,90000,Hipotecada,5,Empreendimento,B,25000,11.86,0,0.28,N,6
28,29000,Alugada,6,Educativo,C,13000,14.26,1,0.45,S,8
21,21000,Alugada,2,Educativo,B,10000,11.71,1,0.48,N,2
25,34800,Hipotecada,NULL,"Pagamento de débitos",A,9450,5.99,0,0.27,N,4
29,91440,Alugada,13,"Melhora do lar",A,23000,6.54,0,0.25,N,7
23,60000,Própria,2,Médico,D,18500,15.33,0,0.31,N,2
30,72000,Alugada,12,Educativo,A,12400,NULL,0,0.17,N,5
25,75600,Hipotecada,7,Médico,C,15000,12.68,0,0.2,S,3
27,185232,Hipotecada,10,Pessoal,A,35000,NULL,0,0.19,N,8
27,26000,Alugada,6,Pessoal,B,6000,10.75,0,0.23,N,10
22,40000,Hipotecada,5,"Pagamento de débitos",B,8000,9.76,0,0.2,N,4
33,170004,Hipotecada,17,Pessoal,A,12000,7.51,0,0.07,N,9
22,28800,Hipotecada,2,Médico,A,10000,7.49,0,0.35,N,2
23,29000,Alugada,4,Médico,D,13450,12.61,1,0.46,N,3
31,17000,Alugada,3,Empreendimento,B,4575,11.48,1,0.27,N,7
33,97200,Hipotecada,4,Pessoal,C,20000,12.29,0,0.21,N,9
23,36000,Alugada,5,Empreendimento,B,8000,NULL,0,0.22,N,2
23,28000,Alugada,5,Pessoal,B,6000,9.63,0,0.21,N,4
22,116000,Hipotecada,3,"Pagamento de débitos",B,12000,10.25,0,0.1,N,4
26,28800,Alugada,4,Médico,A,7000,5.42,0,0.24,N,4
35,29568,Hipotecada,6,Pessoal,C,6000,13.23,0,0.2,S,10
29,65000,Hipotecada,13,Educativo,D,10000,15.33,0,0.15,S,6
32,45000,Alugada,0,Educativo,B,5600,11.36,0,0.12,N,10
25,75600,Hipotecada,7,Médico,C,15000,12.68,0,0.2,N,2
24,42000,Alugada,9,"Pagamento de débitos",E,3000,NULL,1,0.07,S,3
23,50004,Hipotecada,7,Pessoal,A,6000,NULL,0,0.12,N,3
28,215662,Hipotecada,12,Empreendimento,B,21000,11.99,0,0.1,N,7
40,37440,Hipotecada,3,Pessoal,B,10000,11.14,0,0.27,N,11
22,53000,Própria,7,Empreendimento,B,2250,10.62,0,0.04,N,3
25,24000,Hipotecada,0,"Pagamento de débitos",C,6000,13.49,0,0.25,S,3
30,36000,Hipotecada,1,"Pagamento de débitos",A,15000,6.62,0,0.42,N,9
34,92000,Hipotecada,5,Médico,A,10000,7.51,0,0.11,N,10
21,38000,Hipotecada,5,Educativo,C,7000,13.49,0,0.18,S,3
29,46500,Alugada,5,Empreendimento,C,2500,13.92,0,0.05,S,9
23,79200,Hipotecada,7,Educativo,A,5000,5.42,0,0.06,N,3
24,243600,Hipotecada,6,Médico,A,12000,6.03,0,0.05,N,3
22,56400,Alugada,2,Educativo,A,9500,8.9,0,0.17,N,2
25,59600,Hipotecada,5,Educativo,E,6000,16.45,1,0.1,N,4
29,35000,Hipotecada,14,Educativo,C,8000,12.68,0,0.23,S,9
22,36850,Alugada,3,Educativo,B,5200,12.42,0,0.14,N,4
22,40542,Hipotecada,6,Empreendimento,A,6250,NULL,0,0.15,N,2
23,37000,Alugada,7,Educativo,B,3000,10.75,1,0.08,N,4
34,47818,Alugada,9,Médico,A,6800,6.92,0,0.14,N,9
30,42886,Alugada,3,Pessoal,B,12000,10.59,0,0.28,N,10
25,60000,Alugada,1,Empreendimento,A,8400,7.29,0,0.14,N,2
24,67000,Própria,3,Empreendimento,C,13000,NULL,0,0.19,S,3
32,101000,Hipotecada,12,"Pagamento de débitos",B,8000,11.49,0,0.08,N,5
36,145000,Alugada,0,Médico,B,25000,NULL,0,0.17,N,15
29,46000,Alugada,6,Empreendimento,B,4000,9.99,0,0.09,N,9
24,134000,Hipotecada,2,"Pagamento de débitos",D,25000,14.83,1,0.19,N,4
34,47300,Hipotecada,3,"Melhora do lar",A,12000,7.88,0,0.25,N,10
22,18000,Alugada,6,Médico,B,4000,11.49,1,0.22,N,4
